Location ,Month,speed_mean,speed_std,drct_mean,drct_std,peak_wind_gust_mean,peak_wind_gust_std,peak_wind_drct_mean,peak_wind_drct_std
DFW,December,8.51342391558108,4.76149356950939,167.046479310497,98.008324831405,5.50844137604778,11.5213330528986,39.7714717955541,93.2759606290316
BOS,January,10.6186819125636,5.17690584401623,241.453195665159,93.7207757992234,9.19395852888471,13.8377121141286,81.4102454703188,127.65436203777
BOS,February,10.0976531395231,4.93948602984735,233.199750980874,97.515421727593,7.45111551881397,12.9277729637012,64.5535753065686,116.871651495519
BOS,March,10.4684988134425,5.21635948550302,224.506047615402,102.059905350724,8.0642272066141,13.5683449879991,65.8872387659802,118.282702955555
BOS,April,10.4930014887418,5.25136149238666,217.831992990804,103.083337156128,8.22590410793022,13.5690235085856,66.5860799076837,118.286484120646
BOS,May,10.2643561937979,5.11717219450716,209.360709842705,104.204153112853,7.55127556961809,13.1196075656444,61.3750930191605,114.700562203708
BOS,June,9.95477484197159,4.98666380350287,205.212931185059,102.968087558704,6.73721256296352,12.5644460647311,55.3034759168952,110.340573719793
BOS,July,9.68852141099659,4.86022424350465,201.214158448243,102.377295199602,6.01130849692743,12.0322864080136,48.999810110984,105.050635789056
BOS,August,9.47562700508693,4.76850928978688,198.645101827398,102.102605791746,5.48547829631861,11.6014993157272,44.5118488452471,100.910679070913
BOS,September,9.35590205239234,4.69521723724848,197.406749724617,102.310848296055,5.08214950431116,11.2453644174818,40.9682075435864,97.3134430321431
BOS,October,9.36717070856734,4.72957700394884,196.790568833344,102.80356289336,5.16949336175645,11.3219279718507,41.0924259017411,97.5085250046986
BOS,November,9.42521870236596,4.75423709564728,198.648803212052,102.895985055184,5.3363957187355,11.4446865209341,43.1130569730708,99.7686423249068
BOS,December,9.4468964037736,4.76607261138718,200.488582909945,102.797224579548,5.41649617773405,11.5084095644025,43.7327657926819,100.309000910372
MIA,January,6.98617274596817,4.46498425282723,183.627015910812,124.580846628894,2.73219504275354,8.23653613488719,12.9913951726377,45.6441791889421
MIA,February,7.37780724289384,4.33654305358722,160.71448302533,112.634730043591,2.30566835170299,7.63915251258825,13.2366509212452,50.6178400422984
MIA,March,7.47624614148203,4.23590502046911,157.876399568941,110.498353010052,2.02133372299037,7.1797859719797,10.6808343531388,44.0059374204888
MIA,April,7.4909803814788,4.17706846662066,153.523845829192,106.265426102734,1.99775360444377,7.1478736118871,10.9240854447182,45.064932632775
MIA,May,7.62553982368017,4.21271921236661,145.334352021934,102.137287663223,2.08586786308391,7.29559756586277,10.7042497737752,43.2033306793444
MIA,June,7.3089821974465,4.20529079372831,140.808307858298,99.7247169929106,1.92181262362884,7.03775946491888,9.66310016184139,40.6693320892591
MIA,July,7.00672505293577,4.22379954930098,137.7334265874,98.9577897190209,1.93043220954496,7.10243440479025,9.55268790758624,40.1295899847814
MIA,August,6.87062200506111,4.25175970337683,133.945714208797,97.2840941509309,1.98320478651806,7.19779085979526,9.55876810423733,39.3828389163338
MIA,September,6.77467511705945,4.2663440616008,131.189270272127,97.5703310060128,1.97313683480796,7.17980769852307,9.28037196071224,38.6471025377831
