agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
1190769,vector_thrust,strategic,Decoupled,0,5170.0,5170.0,5982.776544497693,6882.837837837838,0.2194859981536865,,,
1191497,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,4542.8378378378375,0.2738864421844482,,,
1191644,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,5412.8378378378375,0.2738864421844482,,,
1193735,vector_thrust,strategic,Decoupled,0,5130.0,5130.0,5942.776544497693,6462.8378378378375,0.3344995975494385,,,
1191710,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5732.8378378378375,0.2147777080535888,,,
1191669,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5532.8378378378375,0.2147777080535888,,,
1194502,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,4632.8378378378375,0.1513011455535888,,,
1195777,vector_thrust,strategic,Decoupled,0,3000.0,3000.0,3812.7765444976926,3812.837837837838,0.2094814777374267,,,
1194470,vector_thrust,strategic,Decoupled,0,3510.0,3510.0,4322.776544497693,4322.8378378378375,0.2474236488342285,,,
1194788,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,5932.8378378378375,0.1513011455535888,,,
1193638,vector_thrust,strategic,Decoupled,0,5130.0,5130.0,5942.776544497693,5992.8378378378375,0.3344995975494385,,,
1194711,vector_thrust,strategic,Decoupled,1,4770.0,4770.0,5582.776544497693,5672.8378378378375,0.1765308380126953,,,
1190905,vector_thrust,strategic,Decoupled,0,4380.0,4380.0,5192.776544497693,5192.8378378378375,0.1729984283447265,,,
1193195,vector_thrust,strategic,Decoupled,0,5750.0,5750.0,6562.776544497693,6562.8378378378375,0.3443348407745361,,,
1191742,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5892.8378378378375,0.2147777080535888,,,
1194741,vector_thrust,strategic,Decoupled,1,4770.0,4770.0,5582.776544497693,5772.8378378378375,0.1765308380126953,,,
1191596,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,5172.8378378378375,0.2738864421844482,,,
1194809,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,6002.8378378378375,0.1513011455535888,,,
1195343,vector_thrust,strategic,Decoupled,0,4160.0,4160.0,4972.776544497693,5742.837837837838,10.394341707229614,,,
1191521,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,4752.8378378378375,0.2738864421844482,,,
1191468,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,4262.8378378378375,0.2738864421844482,,,
1194742,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,5782.8378378378375,0.1513011455535888,,,
1191546,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,4932.8378378378375,0.2147777080535888,,,
1195666,vector_thrust,strategic,Decoupled,0,4630.0,4630.0,5442.776544497693,6472.8378378378375,0.2599389553070068,,,
1191593,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,5162.8378378378375,0.2738864421844482,,,
1191656,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,5472.8378378378375,0.2738864421844482,,,
1191613,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5252.8378378378375,0.2147777080535888,,,
1191807,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,6202.8378378378375,0.2147777080535888,,,
1195446,vector_thrust,strategic,Decoupled,0,4850.0,4850.0,5662.776544497693,5892.8378378378375,0.2126665115356445,,,
79897,lift_and_cruse,reactive,MVP_Bluesky,0,120.0,120.0,2954.6938775510203,2956.8306362927888,,0.0002317783680367,0.1307229995727539,LAX
88222,lift_and_cruse,reactive,MVP_Bluesky,1,1440.0,1440.0,4274.693877551021,4236.160345653534,,0.0002586965938266,0.1438353061676025,ATL
30838,lift_and_cruse,reactive,MVP_Bluesky,2,2560.0,2560.0,5394.693877551021,5516.930346713092,,0.0002657738672632,0.1562750339508056,LAX
21295,lift_and_cruse,reactive,MVP_Bluesky,0,180.0,180.0,3014.6938775510203,2974.873538507853,,0.000247371089351,0.1372909545898437,BOS
61564,lift_and_cruse,reactive,MVP_Bluesky,0,940.0,940.0,3774.69387755102,3771.585190548484,,0.0002576559517353,0.1450603008270263,ATL
242767,lift_and_cruse,reactive,MVP_Bluesky,0,1720.0,4005.0,4554.693877551021,6806.941552786535,,0.000269340655534,0.1500227451324463,ORD
