agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
1201200,vector_thrust,strategic,LocalVO,0,2880.0,2880.0,3818.513513513513,4178.51351351351,0.0132851600646972,,,
1200599,vector_thrust,strategic,LocalVO,1,3920.0,3920.0,4389.256756756757,4439.256756756755,0.0149476528167724,,,
1200565,vector_thrust,strategic,LocalVO,0,3480.0,3480.0,4292.776544497693,4292.776544497689,0.0078966617584228,,,
1200680,vector_thrust,strategic,LocalVO,0,3640.0,3640.0,4578.513513513513,4628.51351351351,0.0100884437561035,,,
1201348,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,4308.007771698132,0.0371630191802978,,,
1200656,vector_thrust,strategic,LocalVO,0,2040.0,2040.0,2509.2567567567567,2509.2569697749045,0.0106844902038574,,,
1200731,vector_thrust,strategic,LocalVO,0,1740.0,1740.0,2678.5135135135133,2678.513513513511,0.0128664970397949,,,
1201446,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,4778.007771698132,0.0371630191802978,,,
1200416,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,3279.2567567567557,0.0048983097076416,,,
1200226,vector_thrust,strategic,LocalVO,1,3140.0,3140.0,4381.536679415107,4421.536679415108,0.0099120140075683,,,
1201732,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,6158.007771698132,0.0371630191802978,,,
1201440,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,4748.007771698132,0.0371630191802978,,,
1201010,vector_thrust,strategic,LocalVO,0,1890.0,1890.0,2702.7765444976926,2703.1134135523507,0.0286715030670166,,,
1201394,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,4531.536679415108,0.0185394287109375,,,
1200251,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,4489.256756756757,0.0046041011810302,,,
1200666,vector_thrust,strategic,LocalVO,0,3120.0,3120.0,3589.2567567567567,3589.7907171153943,0.0255765914916992,,,
1201077,vector_thrust,strategic,LocalVO,0,160.0,160.0,1567.77027027027,1567.77027027027,0.0042846202850341,,,
1201797,vector_thrust,strategic,LocalVO,0,5470.0,5470.0,6408.513513513513,6448.513513513512,0.0073902606964111,,,
1201712,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,6071.536679415108,0.0185394287109375,,,
1200587,vector_thrust,strategic,LocalVO,1,3920.0,3920.0,4389.256756756757,4399.256756756755,0.0149476528167724,,,
1200996,vector_thrust,strategic,LocalVO,0,4250.0,4250.0,4719.256756756757,5009.256756756757,0.0106425285339355,,,
1201437,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,4741.536679415108,0.0185394287109375,,,
1200444,vector_thrust,strategic,LocalVO,0,3150.0,3150.0,3962.7765444976926,3962.7765444976912,0.0074002742767333,,,
1201335,vector_thrust,strategic,LocalVO,0,3440.0,3440.0,4252.776544497693,4252.776544497693,0.0089273452758789,,,
1200809,vector_thrust,strategic,LocalVO,1,2350.0,2350.0,3162.7765444976926,3812.776544497692,0.007974624633789,,,
1212876,vector_thrust,strategic,SIPP,3,1480.0,1480.0,2887.77027027027,3640.832265995474,0.6156694889068604,,,
1211940,vector_thrust,strategic,SIPP,1,1750.0,1750.0,3375.5530889953857,4320.832265995474,1.057765007019043,,,
1211592,vector_thrust,strategic,SIPP,2,3300.0,3300.0,4925.553088995386,5280.832265995474,0.9754197597503662,,,
1212603,vector_thrust,strategic,SIPP,1,2670.0,2670.0,4295.553088995386,5440.832265995474,0.93719482421875,,,
1212862,vector_thrust,strategic,SIPP,3,2530.0,2530.0,3468.5135135135133,3570.832265995474,0.8514628410339355,,,
1212930,vector_thrust,strategic,SIPP,3,1480.0,1480.0,2887.77027027027,3890.832265995474,0.6156694889068604,,,
1211341,vector_thrust,strategic,SIPP,0,3240.0,3240.0,4178.513513513513,4371.308185256357,5.074153661727905,,,
1212396,vector_thrust,strategic,SIPP,1,2670.0,2670.0,4295.553088995386,4630.832265995474,0.93719482421875,,,
1211961,vector_thrust,strategic,SIPP,1,1750.0,1750.0,3375.5530889953857,4390.832265995474,1.057765007019043,,,
1213004,vector_thrust,strategic,SIPP,3,2980.0,2980.0,3792.776544497693,4122.19676980437,0.842320442199707,,,
1212813,vector_thrust,strategic,SIPP,3,1480.0,1480.0,2887.77027027027,3190.832265995474,0.6156694889068604,,,
1212854,vector_thrust,strategic,SIPP,3,2530.0,2530.0,3468.5135135135133,3530.832265995474,0.8514628410339355,,,
1211338,vector_thrust,strategic,SIPP,0,3330.0,3330.0,4142.776544497693,4351.64717708377,0.7058680057525635,,,
1212446,vector_thrust,strategic,SIPP,1,3020.0,3020.0,3489.2567567567567,4862.668018977757,0.6119711399078369,,,
